year,sex,name,n,prop,first_letter,first_is_vowel
1968,M,Willie,3110,0.00175106,W,FALSE
2017,M,Reymond,12,6.11E-06,R,FALSE
,F,Isadore,6,2.19E-05,I,TRUE
1921,F,Tatiana,10,7.81E-06,T,FALSE
1894,M,Ed,241,0.00192965,E,TRUE
1988,M,Mickeal,12,6.00E-06,M,FALSE
1891,M,Oliver,212,0.00194024,O,TRUE
1997,F,Alayshia,15,7.86E-06,A,TRUE
2008,M,Vidyuth,5,2.30E-06,V,FALSE
1980,F,Aurore,5,2.81E-06,A,TRUE
1970,F,Torsha,13,7.10E-06,T,FALSE
1964,F,Rosalinde,7,3.58E-06,R,FALSE
1926,F,Oree,6,4.88E-06,O,TRUE
1985,M,Sachin,20,1.04E-05,S,FALSE
2009,M,Danian,5,2.36E-06,D,FALSE
1913,M,Donnell,10,1.87E-05,D,FALSE
1995,F,Spenser,23,1.20E-05,S,FALSE
1990,M,Sherrard,9,4.18E-06,S,FALSE
2006,F,Giya,5,2.39E-06,G,FALSE
1951,F,Gaynell,90,4.87E-05,G,FALSE
1943,M,Parker,63,4.33E-05,P,FALSE
1953,M,Christobal,9,4.50E-06,C,FALSE
1963,M,Len,89,4.31E-05,L,FALSE
1960,F,Azucena,10,4.81E-06,A,TRUE
1929,F,Eudell,5,4.32E-06,E,TRUE
1952,M,Dannel,5,2.53E-06,D,FALSE
1995,F,Indica,13,6.77E-06,I,TRUE
1988,M,Kennith,75,3.75E-05,K,FALSE
2011,F,Mattilyn,31,1.60E-05,M,FALSE
1999,M,Joshuwa,13,6.38E-06,J,FALSE
1968,M,Linn,14,7.88E-06,L,FALSE
1951,F,Suann,17,9.20E-06,S,FALSE
1922,F,Arelene,5,4.01E-06,A,TRUE
1986,F,Tanyell,5,2.71E-06,T,FALSE
2004,F,Maida,15,7.44E-06,M,FALSE
2004,M,Artem,20,9.47E-06,A,TRUE
1937,F,Gerald,51,4.63E-05,G,FALSE
1973,F,Lagina,14,9.01E-06,L,FALSE
1996,F,Cacy,5,2.61E-06,C,FALSE
1972,F,Idella,19,1.18E-05,I,TRUE
1994,F,Alexsus,11,5.64E-06,A,TRUE
1986,F,Shylo,5,2.71E-06,S,FALSE
1927,M,Doran,26,2.24E-05,D,FALSE
1952,F,Cecile,204,0.00010724,C,FALSE
2011,F,Lakisha,6,3.10E-06,L,FALSE
1977,F,Tela,12,7.30E-06,T,FALSE
1983,F,Lechelle,7,3.91E-06,L,FALSE
1959,F,Timmie,10,4.81E-06,T,FALSE
2001,M,Jayjuan,9,4.35E-06,J,FALSE
2014,F,Nneoma,10,5.12E-06,N,FALSE
1965,M,Carlos,2131,0.00112441,C,FALSE
1921,F,Trinidad,216,0.00016879,T,FALSE
1985,M,Olaf,5,2.60E-06,O,TRUE
1970,F,Ronalyn,5,2.73E-06,R,FALSE
1935,F,Claree,6,5.52E-06,C,FALSE
2012,M,Abi,5,2.47E-06,A,TRUE
1960,F,Lovie,21,1.01E-05,L,FALSE
1920,F,Gwenn,7,5.63E-06,G,FALSE
1980,M,Kelvin,612,0.00032991,K,FALSE
1973,F,Maranda,45,2.90E-05,M,FALSE
1909,F,Idabelle,10,2.72E-05,I,TRUE
1956,M,Livingston,13,6.06E-06,L,FALSE
1889,M,Armand,5,4.20E-05,A,TRUE
1972,F,Deshawn,51,3.16E-05,D,FALSE
2012,M,Yona,28,1.38E-05,Y,FALSE
2008,M,Kailan,16,7.34E-06,K,FALSE
1974,M,Lucus,5,3.07E-06,L,FALSE
1963,F,Delois,130,6.54E-05,D,FALSE
2006,F,Santana,91,4.36E-05,S,FALSE
2017,F,Heloisa,13,6.93E-06,H,FALSE
1976,M,Demonta,5,3.06E-06,D,FALSE
1948,F,Davene,9,5.16E-06,D,FALSE
2006,F,Karalyne,6,2.87E-06,K,FALSE
1945,F,Armanda,10,7.43E-06,A,TRUE
2003,F,Danyale,12,5.98E-06,D,FALSE
1983,M,Bentley,20,1.07E-05,B,FALSE
1967,M,Lyndel,12,6.74E-06,L,FALSE
2005,F,Kamoree,5,2.47E-06,K,FALSE
1982,F,Krista,1695,0.00093441,K,FALSE
1969,F,Ariane,29,1.65E-05,A,TRUE
2001,M,Othman,12,5.80E-06,O,TRUE
1910,F,Mellie,31,7.39E-05,M,FALSE
2006,F,Lismary,8,3.83E-06,L,FALSE
1992,F,Akosua,9,4.49E-06,A,TRUE
1993,F,Shakoya,11,5.58E-06,S,FALSE
1958,F,Karel,31,1.50E-05,K,FALSE
1984,F,Juliette,112,6.21E-05,J,FALSE
1996,M,Amber,19,9.48E-06,A,TRUE
2006,F,Autym,6,2.87E-06,A,TRUE
2008,F,Jadesola,9,4.32E-06,J,FALSE
1964,M,Russel,148,7.30E-05,R,FALSE
1940,M,Melvin,3934,0.00331697,M,FALSE
1982,M,Windsor,5,2.65E-06,W,FALSE
1993,F,Maya,1013,0.00051391,M,FALSE
1910,M,Martin,396,0.00189909,M,FALSE
1999,M,Loki,5,2.45E-06,L,FALSE
2008,M,Yousef,177,8.13E-05,Y,FALSE
1981,F,Juliann,63,3.52E-05,J,FALSE
1941,F,Irena,6,4.82E-06,I,TRUE
1991,F,Chelseay,5,2.46E-06,C,FALSE
1999,F,Milana,33,1.70E-05,M,FALSE
1909,F,Litha,6,1.63E-05,L,FALSE
1960,M,Roland,1140,0.00052639,R,FALSE
2013,M,Daryel,5,2.48E-06,D,FALSE
1910,F,Lovenia,10,2.38E-05,L,FALSE
1949,F,Annabella,11,6.27E-06,A,TRUE
2003,F,Keile,5,2.49E-06,K,FALSE
1944,M,Isreal,18,1.30E-05,I,TRUE
1918,M,Oswaldo,5,4.77E-06,O,TRUE
1998,F,Katey,67,3.46E-05,K,FALSE
2017,F,Emilya,13,6.93E-06,E,TRUE
2001,F,Kasaundra,11,5.56E-06,K,FALSE
1982,F,Sharea,10,5.51E-06,S,FALSE
1991,F,Nettie,26,1.28E-05,N,FALSE
1963,F,Betsi,6,3.02E-06,B,FALSE
1913,M,Harlie,11,2.05E-05,H,FALSE
1993,F,Kyasha,5,2.54E-06,K,FALSE
2008,M,Lionell,7,3.21E-06,L,FALSE
1902,F,Dale,14,4.99E-05,D,FALSE
1943,F,Jearlene,7,4.88E-06,J,FALSE
2004,F,Jyla,6,2.98E-06,J,FALSE
1982,F,Tahara,8,4.41E-06,T,FALSE
1949,F,Gracemarie,5,2.85E-06,G,FALSE
1995,M,Ahkeel,6,2.98E-06,A,TRUE
1990,F,Lateshia,30,1.46E-05,L,FALSE
1994,F,Hilarie,5,2.57E-06,H,FALSE
2004,M,Jolan,13,6.15E-06,J,FALSE
2013,F,Vritika,5,2.60E-06,V,FALSE
1996,M,Jacobdaniel,5,2.50E-06,J,FALSE
1995,F,Davis,7,3.64E-06,D,FALSE
1991,M,Gionni,7,3.30E-06,G,FALSE
2007,F,Jomayra,6,2.84E-06,J,FALSE
1974,F,Stepheni,8,5.11E-06,S,FALSE
1987,M,Levell,8,4.10E-06,L,FALSE
1917,F,Earle,10,8.90E-06,E,TRUE
2007,F,Skyelynn,18,8.51E-06,S,FALSE
1984,M,Celso,30,1.60E-05,C,FALSE
1939,F,Lorette,17,1.50E-05,L,FALSE
1933,F,Marlyn,156,0.00014915,M,FALSE
1972,F,Naja,11,6.82E-06,N,FALSE
1998,F,Karley,311,0.00016047,K,FALSE
1897,F,Bernice,519,0.00209042,B,FALSE
1967,F,Latrena,8,4.66E-06,L,FALSE
1969,F,Georgette,177,0.00010041,G,FALSE
1989,M,Tomy,9,4.30E-06,T,FALSE
1982,F,Hunter,6,3.31E-06,H,FALSE
1920,F,Dominica,20,1.61E-05,D,FALSE
1979,M,Zalman,8,4.46E-06,Z,FALSE
2002,F,Raeleigh,36,1.82E-05,R,FALSE
1999,M,Lesean,5,2.45E-06,L,FALSE
1991,M,Sy,18,8.49E-06,S,FALSE
1976,F,Craig,27,1.72E-05,C,FALSE
1942,M,Malvin,34,2.42E-05,M,FALSE
1971,F,Chequita,6,3.42E-06,C,FALSE
2017,F,Rut,20,1.07E-05,R,FALSE
1991,F,Amit,7,3.44E-06,A,TRUE
2014,F,Kyasia,17,8.71E-06,K,FALSE
1992,M,Payne,34,1.62E-05,P,FALSE
1915,F,Maydell,11,1.07E-05,M,FALSE
1973,F,Kali,34,2.19E-05,K,FALSE
1982,F,Kc,10,5.51E-06,K,FALSE
2013,M,Jayzon,16,7.93E-06,J,FALSE
1996,M,Terran,36,1.80E-05,T,FALSE
1997,M,Jabier,9,4.51E-06,J,FALSE
1974,M,Joanthan,7,4.29E-06,J,FALSE
2011,F,Ceazia,8,4.13E-06,C,FALSE
1962,F,Kassie,6,2.96E-06,K,FALSE
1961,F,Adelita,43,2.07E-05,A,TRUE
2013,M,Jayben,5,2.48E-06,J,FALSE
1982,M,Shea,108,5.72E-05,S,FALSE
1962,F,Nicolee,5,2.47E-06,N,FALSE
1981,F,Lorriane,5,2.80E-06,L,FALSE
2014,M,Dwaine,11,5.38E-06,D,FALSE
2002,F,Nickolette,5,2.53E-06,N,FALSE
1996,M,Eliab,5,2.50E-06,E,TRUE
2000,F,Akane,11,5.51E-06,A,TRUE
1924,F,Jesus,23,1.78E-05,J,FALSE
1971,F,Sharena,7,3.99E-06,S,FALSE
1978,F,Ryane,20,1.22E-05,R,FALSE
1956,F,Page,34,1.65E-05,P,FALSE
1958,M,Kennard,30,1.39E-05,K,FALSE
1972,M,Isidore,6,3.58E-06,I,TRUE
2004,F,Irianna,11,5.45E-06,I,TRUE
1923,F,Delpha,55,4.39E-05,D,FALSE
2005,M,Rayner,7,3.29E-06,R,FALSE
1942,F,Agustina,5,3.60E-06,A,TRUE
2005,F,Adeline,520,0.00025639,A,TRUE
2009,M,Omario,6,2.83E-06,O,TRUE
1909,M,Gilmer,6,3.39E-05,G,FALSE
1919,M,Renold,5,4.92E-06,R,FALSE
1942,M,Normal,6,4.26E-06,N,FALSE
2000,F,Breona,74,3.71E-05,B,FALSE
2016,F,Averiee,6,3.11E-06,A,TRUE
2008,F,Digna,5,2.40E-06,D,FALSE
1921,M,Trenton,7,6.15E-06,T,FALSE
1989,M,Amin,48,2.29E-05,A,TRUE
2002,F,Lia,346,0.00017528,L,FALSE
1883,F,Peggy,6,5.00E-05,P,FALSE
2009,F,Amoriah,10,4.94E-06,A,TRUE
1895,F,Petra,27,0.00010926,P,FALSE
1999,M,Shishir,5,2.45E-06,S,FALSE
1979,M,Joab,10,5.58E-06,J,FALSE
1971,F,Carmita,13,7.42E-06,C,FALSE
1972,F,Vernette,11,6.82E-06,V,FALSE
1915,M,Emmitt,90,0.00010216,E,TRUE
1926,M,Bertel,7,6.11E-06,B,FALSE
2004,M,Siraj,16,7.58E-06,S,FALSE
2011,F,Laycee,31,1.60E-05,L,FALSE
1989,F,Hiedi,21,1.05E-05,H,FALSE
2009,F,Blain,6,2.97E-06,B,FALSE
1990,F,Madeline,1492,0.0007264,M,FALSE
1943,M,Haskel,20,1.38E-05,H,FALSE
1957,M,Hyrum,5,2.29E-06,H,FALSE
1911,M,Oren,48,0.00019884,O,TRUE
1963,F,Shawana,12,6.04E-06,S,FALSE
1927,F,Glessie,6,4.85E-06,G,FALSE
1999,F,Jenifer,355,0.00018241,J,FALSE
1894,M,Wilton,8,6.41E-05,W,FALSE
1958,F,Rebeka,6,2.91E-06,R,FALSE
1989,F,Rainey,30,1.51E-05,R,FALSE
2004,F,Sophia,10915,0.00541262,S,FALSE
2002,F,Hillary,197,9.98E-05,H,FALSE
2010,F,Zyanah,10,5.11E-06,Z,FALSE
1980,M,Zeeshan,8,4.31E-06,Z,FALSE
2005,F,Kammy,8,3.94E-06,K,FALSE
2017,F,Nyala,16,8.53E-06,N,FALSE
1926,F,Levon,7,5.69E-06,L,FALSE
2009,M,Wynton,7,3.30E-06,W,FALSE
1993,F,Linzi,16,8.12E-06,L,FALSE
1915,M,Dayle,9,1.02E-05,D,FALSE
1991,F,Danell,17,8.36E-06,D,FALSE
1970,F,Alfie,9,4.91E-06,A,TRUE
1988,F,Tinaya,6,3.12E-06,T,FALSE
2017,F,Tamaria,9,4.80E-06,T,FALSE
1980,F,Miah,13,7.30E-06,M,FALSE
1924,M,Wildred,5,4.28E-06,W,FALSE
1991,F,Tuyet,11,5.41E-06,T,FALSE
1933,F,Cynthia,772,0.00073809,C,FALSE
2004,F,Kaeden,14,6.94E-06,K,FALSE
2010,F,Gaya,5,2.55E-06,G,FALSE
1979,F,Karim,11,6.38E-06,K,FALSE
1929,M,Gaetano,56,5.06E-05,G,FALSE
1954,F,Gabriele,8,4.02E-06,G,FALSE
2011,F,Amia,161,8.32E-05,A,TRUE
1973,M,Grey,12,7.43E-06,G,FALSE
1953,F,Renata,32,1.66E-05,R,FALSE
1909,F,Gemma,12,3.26E-05,G,FALSE
2008,F,Adelin,15,7.21E-06,A,TRUE
1933,F,Selena,38,3.63E-05,S,FALSE
2012,F,Gena,15,7.75E-06,G,FALSE
2005,M,Elih,5,2.35E-06,E,TRUE
2011,F,Oceanna,8,4.13E-06,O,TRUE
1928,F,Luzetta,5,4.18E-06,L,FALSE
1931,F,Mavis,472,0.00042768,M,FALSE
1998,M,Nikoli,13,6.41E-06,N,FALSE
2001,M,Khanh,10,4.84E-06,K,FALSE
2000,F,Nakeisha,12,6.02E-06,N,FALSE
1993,F,Saliha,5,2.54E-06,S,FALSE
2002,F,Khushi,89,4.51E-05,K,FALSE
1979,F,Robyne,5,2.90E-06,R,FALSE
1925,M,Loy,78,6.77E-05,L,FALSE
1920,F,French,5,4.02E-06,F,FALSE
2004,M,Alastair,18,8.52E-06,A,TRUE
1935,M,Gorden,56,5.24E-05,G,FALSE
1996,F,Fallan,5,2.61E-06,F,FALSE
1987,F,Carri,46,2.46E-05,C,FALSE
1917,F,Luddie,5,4.45E-06,L,FALSE
1981,F,Arden,7,3.91E-06,A,TRUE
1922,F,Joe,149,0.00011943,J,FALSE
2010,F,Nkechi,5,2.55E-06,N,FALSE
2007,F,Maicie,7,3.31E-06,M,FALSE
1900,F,Lu,9,2.83E-05,L,FALSE
2011,F,Madolyn,13,6.72E-06,M,FALSE
2011,M,Jess,37,1.82E-05,J,FALSE
1987,F,Ryanne,62,3.31E-05,R,FALSE
1991,F,Trixy,10,4.92E-06,T,FALSE
1996,F,Shatavia,29,1.51E-05,S,FALSE
1996,F,Nicolle,112,5.84E-05,N,FALSE
1986,F,Ralynn,7,3.79E-06,R,FALSE
2005,F,Arionna,125,6.16E-05,A,TRUE
2010,F,Neria,5,2.55E-06,N,FALSE
1940,F,Windell,5,4.23E-06,W,FALSE
2004,F,Bricia,7,3.47E-06,B,FALSE
1957,M,Uriah,6,2.74E-06,U,TRUE
1922,M,Mel,19,1.69E-05,M,FALSE
1985,F,Sydnee,16,8.67E-06,S,FALSE
1991,F,Domonique,299,0.00014706,D,FALSE
1917,F,Drucilla,35,3.12E-05,D,FALSE
2003,M,Hariharan,5,2.38E-06,H,FALSE
2012,F,Jalexa,8,4.13E-06,J,FALSE
2002,F,Alesha,98,4.97E-05,A,TRUE
1976,M,Elmo,27,1.65E-05,E,TRUE
1979,M,Autumn,12,6.70E-06,A,TRUE
2017,M,Tommie,43,2.19E-05,T,FALSE
1924,M,Octaviano,7,5.99E-06,O,TRUE
2012,M,Ahron,30,1.48E-05,A,TRUE
2008,M,Avyon,5,2.30E-06,A,TRUE
1955,M,Blase,15,7.18E-06,B,FALSE
2011,M,Evens,5,2.46E-06,E,TRUE
2010,M,Earvin,8,3.90E-06,E,TRUE
1896,F,Betsey,9,3.57E-05,B,FALSE
1976,F,Donyell,19,1.21E-05,D,FALSE
1915,M,Erhardt,7,7.95E-06,E,TRUE
1927,F,Venora,10,8.09E-06,V,FALSE
1890,F,Ferne,18,8.93E-05,F,FALSE
2002,M,Laderrick,9,4.36E-06,L,FALSE
2016,F,Nazaria,18,9.33E-06,N,FALSE
1937,M,Mcclellan,6,5.49E-06,M,FALSE
1960,F,Nadja,9,4.33E-06,N,FALSE
1976,F,Trica,18,1.15E-05,T,FALSE
2006,F,Nicolena,5,2.39E-06,N,FALSE
1927,F,Roxana,8,6.47E-06,R,FALSE
1904,F,Ozella,10,3.42E-05,O,TRUE
2001,M,Magnum,8,3.87E-06,M,FALSE
1949,F,Robyne,6,3.42E-06,R,FALSE
2003,M,Aloysius,7,3.33E-06,A,TRUE
1924,F,Hanako,19,1.47E-05,H,FALSE
1977,M,April,26,1.52E-05,A,TRUE
1994,M,Xzavier,75,3.68E-05,X,FALSE
2010,M,Kyi,11,5.36E-06,K,FALSE
1993,F,Lachandra,7,3.55E-06,L,FALSE
1884,M,Murry,5,4.07E-05,M,FALSE
1994,F,Cassandre,12,6.16E-06,C,FALSE
1999,F,Shaynna,6,3.08E-06,S,FALSE
2005,M,Raekwon,36,1.69E-05,R,FALSE
1986,F,Houa,7,3.79E-06,H,FALSE
1986,M,Codee,6,3.12E-06,C,FALSE
1886,F,Tiny,6,3.90E-05,T,FALSE
2008,F,Roseanne,10,4.81E-06,R,FALSE
1988,F,Hibah,6,3.12E-06,H,FALSE
1939,M,Whitman,8,7.06E-06,W,FALSE
2013,M,Travin,14,6.94E-06,T,FALSE
1992,F,Traneisha,5,2.49E-06,T,FALSE
1937,M,Bing,11,1.01E-05,B,FALSE
1986,M,Iain,34,1.77E-05,I,TRUE
2007,F,Rhiannah,5,2.36E-06,R,FALSE
2014,M,Kadrian,24,1.17E-05,K,FALSE
1987,F,Keairra,6,3.20E-06,K,FALSE
1952,M,Bishop,16,8.10E-06,B,FALSE
1901,F,Hermina,14,5.51E-05,H,FALSE
2008,F,Dulse,10,4.81E-06,D,FALSE
1995,F,Rita,296,0.00015407,R,FALSE
1928,F,Gertrude,3012,0.00251953,G,FALSE
2011,F,Amalya,20,1.03E-05,A,TRUE
2014,F,Violette,187,9.58E-05,V,FALSE
1974,M,Spiro,19,1.17E-05,S,FALSE
1999,M,Keundre,5,2.45E-06,K,FALSE
1978,F,Gisselle,8,4.87E-06,G,FALSE
1916,F,Lucindia,7,6.45E-06,L,FALSE
2015,F,Chandler,249,0.000128,C,FALSE
1967,F,Penny,2811,0.00163744,P,FALSE
1972,F,Shuree,5,3.10E-06,S,FALSE
1950,F,Marna,67,3.81E-05,M,FALSE
1991,M,Shelden,9,4.25E-06,S,FALSE
1886,M,Guss,9,7.56E-05,G,FALSE
1958,M,Tracey,91,4.23E-05,T,FALSE
2016,M,Benno,6,2.97E-06,B,FALSE
2011,M,Cruise,11,5.42E-06,C,FALSE
2008,F,Lucienne,28,1.35E-05,L,FALSE
1918,F,Teretha,5,4.16E-06,T,FALSE
2000,M,Ilya,24,1.15E-05,I,TRUE
2014,M,Izael,28,1.37E-05,I,TRUE
1947,M,Irvan,6,3.23E-06,I,TRUE
1918,M,Lewellyn,8,7.63E-06,L,FALSE
2009,M,Geovanny,167,7.88E-05,G,FALSE
1923,M,Virgil,1714,0.0015137,V,FALSE
2001,F,Rivers,40,2.02E-05,R,FALSE
2008,F,Marifer,10,4.81E-06,M,FALSE
2005,M,Tavoris,7,3.29E-06,T,FALSE
1914,F,Newell,6,7.53E-06,N,FALSE
2003,M,Trayton,52,2.48E-05,T,FALSE
1962,F,Gretta,45,2.22E-05,G,FALSE
1991,M,Chukwuma,7,3.30E-06,C,FALSE
1975,F,Jeanne,702,0.00044979,J,FALSE
2007,F,Fabiola,256,0.00012105,F,FALSE
1990,M,Linsey,6,2.79E-06,L,FALSE
1975,M,Torran,5,3.08E-06,T,FALSE
1962,M,Belvin,11,5.23E-06,B,FALSE
1915,F,Alicemae,5,4.88E-06,A,TRUE
1996,M,Rodney,1054,0.00052611,R,FALSE
1894,F,Francis,108,0.00045768,F,FALSE
1949,F,Mel,7,3.99E-06,M,FALSE
1988,M,Stan,30,1.50E-05,S,FALSE
2012,F,Roxann,19,9.81E-06,R,FALSE
1988,F,Leyda,5,2.60E-06,L,FALSE
2017,M,Haaken,7,3.57E-06,H,FALSE
1956,M,Hampton,30,1.40E-05,H,FALSE
2009,M,Kedrick,25,1.18E-05,K,FALSE
1969,M,Evan,545,0.00029782,E,TRUE
2008,F,Timari,8,3.84E-06,T,FALSE
1976,F,Genevie,6,3.82E-06,G,FALSE
1984,F,Classie,7,3.88E-06,C,FALSE
1907,F,Floree,5,1.48E-05,F,FALSE
1915,F,Perina,10,9.77E-06,P,FALSE
1988,M,Raymar,7,3.50E-06,R,FALSE
1997,M,Seanpatrick,7,3.50E-06,S,FALSE
1912,F,Consuelo,63,0.00010738,C,FALSE
1941,F,Ardyth,18,1.45E-05,A,TRUE
1972,F,Sherill,11,6.82E-06,S,FALSE
1880,F,Ola,67,0.00068644,O,TRUE
2006,F,Dennisse,6,2.87E-06,D,FALSE
2004,F,Tyara,27,1.34E-05,T,FALSE
1923,M,Guerino,9,7.95E-06,G,FALSE
1924,M,Quenton,11,9.41E-06,Q,FALSE
1995,F,Felishia,11,5.73E-06,F,FALSE
1958,M,Doyal,16,7.43E-06,D,FALSE
2006,F,Chamille,9,4.31E-06,C,FALSE
1937,M,Adolpho,6,5.49E-06,A,TRUE
1966,M,Gilberto,291,0.00016007,G,FALSE
1950,M,Perfecto,12,6.60E-06,P,FALSE
1969,F,Kambria,5,2.84E-06,K,FALSE
1988,M,Dionicio,14,7.00E-06,D,FALSE
1995,F,Maddi,12,6.25E-06,M,FALSE
2000,F,Iyana,213,0.00010677,I,TRUE
2017,F,Westlyn,108,5.76E-05,W,FALSE
1949,F,Daisy,580,0.00033039,D,FALSE
1920,M,Ulyses,21,1.91E-05,U,TRUE
1994,F,Farah,74,3.80E-05,F,FALSE
1991,M,Ayodele,8,3.78E-06,A,TRUE
2008,F,Aloni,13,6.25E-06,A,TRUE
1999,M,Cleon,11,5.40E-06,C,FALSE
2004,F,Cassadi,10,4.96E-06,C,FALSE
1998,F,Tymesha,12,6.19E-06,T,FALSE
1986,M,Maxfield,10,5.21E-06,M,FALSE
1982,F,Marice,9,4.96E-06,M,FALSE
1991,F,Breonca,6,2.95E-06,B,FALSE
1977,M,Ralph,1253,0.00073281,R,FALSE
2007,F,Estelle,106,5.01E-05,E,TRUE
2017,M,Octavius,57,2.90E-05,O,TRUE
1988,M,Clancy,19,9.49E-06,C,FALSE
1983,M,Jermyn,6,3.22E-06,J,FALSE
1982,F,Daralyn,6,3.31E-06,D,FALSE
1948,F,Marcia,4641,0.0026633,M,FALSE
1990,F,Karlin,7,3.41E-06,K,FALSE
1916,F,Genevra,6,5.53E-06,G,FALSE
1998,F,Nakya,12,6.19E-06,N,FALSE
2009,M,Nunzio,9,4.25E-06,N,FALSE
1986,M,Joshya,6,3.12E-06,J,FALSE
1960,F,Gerilyn,29,1.39E-05,G,FALSE
1984,M,Jimi,22,1.17E-05,J,FALSE
1945,F,Aurora,213,0.00015824,A,TRUE
1881,F,Edyth,7,7.08E-05,E,TRUE
2013,F,Mazzy,38,1.98E-05,M,FALSE
1920,M,Winsor,7,6.36E-06,W,FALSE
1971,F,Valeska,5,2.85E-06,V,FALSE
1995,M,Keller,35,1.74E-05,K,FALSE
1962,M,Toy,10,4.76E-06,T,FALSE
1981,M,Ivey,9,4.83E-06,I,TRUE
2017,F,Sina,11,5.87E-06,S,FALSE
1992,F,Margaret,3241,0.00161703,M,FALSE
2002,M,Skylar,680,0.00032921,S,FALSE
1982,F,Vida,30,1.65E-05,V,FALSE
2004,F,Shanaya,69,3.42E-05,S,FALSE
1972,F,Georginia,5,3.10E-06,G,FALSE
1925,F,Jonie,5,3.96E-06,J,FALSE
2014,F,Evolette,23,1.18E-05,E,TRUE
1986,M,Mychael,34,1.77E-05,M,FALSE
1993,M,Maxim,47,2.28E-05,M,FALSE
1995,F,Laporche,5,2.60E-06,L,FALSE
1988,F,Khristi,5,2.60E-06,K,FALSE
1997,M,Ahmaud,6,3.00E-06,A,TRUE
1999,F,Stachia,5,2.57E-06,S,FALSE
2012,F,Sharell,8,4.13E-06,S,FALSE
1993,F,Eneida,8,4.06E-06,E,TRUE
1998,M,Christafer,6,2.96E-06,C,FALSE
2017,M,Jairus,62,3.16E-05,J,FALSE
1987,F,Armanda,27,1.44E-05,A,TRUE
1996,M,Jeffry,68,3.39E-05,J,FALSE
1921,F,Ezell,10,7.81E-06,E,TRUE
1989,M,Javar,23,1.10E-05,J,FALSE
2000,M,Chantz,50,2.40E-05,C,FALSE
1996,M,Traven,28,1.40E-05,T,FALSE
1952,F,Sharlie,5,2.63E-06,S,FALSE
1972,F,Lavra,5,3.10E-06,L,FALSE
1988,F,Tora,9,4.68E-06,T,FALSE
1945,F,Zelphia,5,3.71E-06,Z,FALSE
1976,F,Jordanna,10,6.36E-06,J,FALSE
1985,M,Titus,134,6.97E-05,T,FALSE
1975,M,Hiram,103,6.35E-05,H,FALSE
1973,F,Shanique,16,1.03E-05,S,FALSE
1976,F,Happy,10,6.36E-06,H,FALSE
1977,M,Boban,6,3.51E-06,B,FALSE
1919,M,Ellsworth,231,0.00022751,E,TRUE
2013,M,Keydan,8,3.97E-06,K,FALSE
2012,F,Emmajane,20,1.03E-05,E,TRUE
1996,M,Isaac,4564,0.00227816,I,TRUE
1955,F,Jossie,8,3.99E-06,J,FALSE
1990,M,Rohit,44,2.05E-05,R,FALSE
2014,M,Arion,89,4.35E-05,A,TRUE
2013,F,Izza,7,3.64E-06,I,TRUE
1995,F,Travon,5,2.60E-06,T,FALSE
2014,M,Janard,5,2.45E-06,J,FALSE
2013,M,Samiir,6,2.98E-06,S,FALSE
1932,M,Maximo,6,5.59E-06,M,FALSE
2001,F,Rhyse,5,2.53E-06,R,FALSE
1975,F,Johnny,33,2.11E-05,J,FALSE
2013,F,Soliana,40,2.08E-05,S,FALSE
1961,M,Lorry,6,2.78E-06,L,FALSE
1924,M,Duilio,9,7.70E-06,D,FALSE
